time,tag_id,distance,bearing
1778594557.6551194,48,0.310654,-0.195083
1778594557.688448,48,0.310358,-0.200906
1778594557.7217767,48,0.312726,-0.209179
1778594557.7551055,48,0.312115,-0.217709
1778594557.788434,48,0.312722,-0.221644
1778594557.8217626,48,0.315507,-0.229726
1778594557.8550913,48,0.316940,-0.234522
1778594557.921749,48,0.319753,-0.247300
1778594557.9550772,48,0.321456,-0.254976
1778594557.9884057,48,0.323504,-0.262828
1778594558.021735,48,0.324930,-0.274520
1778594558.0550632,48,0.328229,-0.282045
1778594558.0883918,48,0.336438,-0.294904
1778594558.1217203,48,0.342051,-0.300878
1778594558.155049,48,0.276326,-0.303811
1778594558.2217064,48,0.358499,-0.320132
1778594558.2883635,48,0.406050,-0.313647
1778594558.3216922,48,0.403952,-0.332272
1778594558.3550208,48,0.410770,-0.336285
1778594558.3883495,48,0.416308,-0.340480
1778594558.4216783,48,0.390008,-0.343758
1778594558.4550068,48,0.395561,-0.347947
1778594558.4883356,48,0.401613,-0.351922
1778594558.521664,48,0.407141,-0.354220
1778594558.5549927,48,0.412677,-0.357885
1778594558.588322,48,0.417925,-0.361585
1778594558.62165,48,0.421693,-0.363418
1778594558.6549785,48,0.428473,-0.366950
1778594558.6883073,48,0.431729,-0.369704
1778594558.721636,48,0.436741,-0.372461
1778594558.7549646,48,0.443717,-0.375345
1778594558.7882931,48,0.448080,-0.377960
1778594559.3215516,20,0.558419,0.383499
1778594559.35488,20,0.544188,0.381110
1778594559.3882089,20,0.537245,0.378502
1778594559.4215374,20,0.535323,0.376747
1778594559.454866,20,0.520434,0.374260
1778594559.4881947,20,0.518099,0.371972
1778594559.5215232,20,0.510401,0.368678
1778594559.554852,20,0.506243,0.366336
1778594559.5881808,20,0.495947,0.363466
1778594559.6215093,20,0.490013,0.361135
1778594559.6548378,20,0.483515,0.358333
1778594559.6881666,20,0.479539,0.355177
1778594559.7214952,20,0.472746,0.352136
1778594559.754824,20,0.465996,0.348953
1778594559.7881522,20,1.730817,0.349317
1778594559.8214812,20,0.462019,0.339175
1778594559.8548098,20,0.453060,0.335577
1778594559.8881383,20,0.445312,0.331445
1778594559.9214675,20,0.440897,0.329222
1778594559.9547956,20,0.220413,0.342053
1778594560.0881102,20,0.249499,0.268853
1778594560.1214387,20,0.387362,0.301278
1778594560.1547675,20,0.380792,0.295720
1778594560.188096,20,0.370187,0.287310
1778594560.2214248,20,0.362350,0.282637
1778594560.2547536,20,0.352045,0.271802
1778594560.2880821,20,0.342992,0.262855
1778594560.321411,20,0.336666,0.252967
1778594560.3547394,20,0.332310,0.244266
1778594560.388068,20,0.328378,0.236719
1778594560.4213967,20,0.326429,0.228622
1778594560.454725,20,0.328328,0.221084
1778594560.4880538,20,0.325394,0.213928
1778594560.5213826,20,0.330969,0.203210
1778594560.5547113,20,0.355704,0.187101
1778594560.58804,20,0.354781,0.180975
1778594560.6213684,20,0.353217,0.173163
1778594560.6546972,20,0.350758,0.165925
1778594560.6880257,20,0.348539,0.156403
1778594560.7213545,20,0.347412,0.151586
1778594560.754683,20,0.345871,0.141885
1778594560.7880116,20,0.344518,0.134846
1778594560.8213403,20,0.342279,0.126845
1778594560.8546689,20,0.339959,0.117861
1778594560.8879976,20,0.339313,0.111399
1778594560.9213264,20,0.336807,0.102273
1778594560.954655,20,0.335655,0.095510
1778594560.9879835,20,0.333219,0.086250
1778594561.0213127,20,0.332376,0.078130
1778594561.0546408,20,0.330259,0.069795
1778594561.0879695,20,0.330090,0.061332
1778594561.121298,20,0.329286,0.052686
1778594561.1546266,20,0.329476,0.042802
1778594561.1879554,20,0.329301,0.033123
1778594561.221284,20,0.331504,0.001712
1778594561.254613,20,0.329996,-0.007583
1778594561.2879412,20,0.328951,-0.017913
1778594561.32127,20,0.328810,-0.027306
1778594561.3545985,20,0.328699,-0.035708
1778594561.3879273,20,0.331061,-0.044811
1778594561.4212558,20,0.331654,-0.051691
1778594561.4545844,20,0.332947,-0.062094
1778594561.4879131,20,0.332458,-0.069979
1778594561.5212417,20,0.333025,-0.080003
1778594561.5545704,20,0.335293,-0.088052
1778594561.5878992,20,0.337719,-0.097506
1778594561.6212277,20,0.339436,-0.107111
1778594561.6545563,20,0.342127,-0.113442
1778594561.687885,20,0.345155,-0.123829
1778594561.7212136,20,0.348420,-0.131147
1778594561.7545424,20,0.348401,-0.139015
1778594561.7878706,20,0.351373,-0.146107
1778594561.8211997,20,0.353150,-0.154311
1778594561.8545282,20,0.350332,-0.160654
1778594561.8878567,20,0.345730,-0.172669
1778594561.9211857,20,0.332321,-0.181677
1778594561.954514,20,0.330991,-0.190156
1778594561.9878426,20,0.334479,-0.196611
1778594562.0211716,20,0.334525,-0.204201
1778594562.0545,20,0.339083,-0.211635
1778594562.0878286,20,0.338548,-0.217257
1778594562.1211572,20,0.341177,-0.226248
1778594562.154486,20,0.342288,-0.230993
1778594562.1878145,20,0.343779,-0.241605
1778594562.2211432,20,0.346541,-0.247845
1778594562.254472,20,0.349013,-0.262842
1778594562.2878006,20,0.333054,-0.285824
1778594562.321129,20,0.368257,-0.283395
1778594562.3544576,20,0.376174,-0.293525
1778594562.3877864,20,0.381911,-0.299525
1778594562.4211152,20,0.387665,-0.304689
1778594562.4544435,20,0.323212,-0.303405
1778594562.5544295,20,0.413761,-0.322444
1778594562.5877585,20,0.445473,-0.326344
1778594562.6210868,20,0.455775,-0.330716
1778594562.6544156,20,0.457719,-0.333528
1778594562.6877441,20,0.445547,-0.339192
1778594562.7210727,20,0.452216,-0.342700
1778594562.7544014,20,0.457235,-0.346450
1778594562.78773,20,0.466720,-0.349809
1778594562.8210588,20,0.474480,-0.353935
1778594562.8543873,20,0.478914,-0.356745
1778594562.887716,20,0.485554,-0.359290
1778594562.9210448,20,0.486881,-0.361572
1778594562.9543734,20,0.494862,-0.364282
1778594562.987702,20,0.501034,-0.366840
1778594563.0210307,20,0.506917,-0.369629
1778594563.0543592,20,0.520110,-0.372845
1778594563.087688,20,0.522568,-0.375139
1778594563.1210163,20,0.527919,-0.377504
1778594563.1210163,19,1.613744,0.415320
1778594563.1543453,20,0.544335,-0.379756
1778594563.2210023,19,1.623630,0.411669
1778594563.2543314,19,1.576835,0.410724
1778594563.2876596,19,1.577366,0.409291
1778594563.4209745,19,1.460306,0.402811
1778594563.4543028,19,1.432653,0.401057
1778594563.4876318,19,1.409931,0.399663
1778594563.52096,19,1.420699,0.397543
1778594563.5542889,19,1.384326,0.396057
1778594563.5876176,19,1.398341,0.395199
1778594563.620946,19,1.372229,0.393342
1778594563.6542745,19,1.347250,0.391673
1778594563.7209318,19,1.320744,0.386105
1778594563.7542605,19,1.292815,0.383419
1778594563.787589,19,1.266993,0.380915
1778594563.820918,19,1.241341,0.378242
1778594563.8542464,19,1.199387,0.375552
