x,y,theta,time
0.296619000131878,-1.2591140000446799,-0.8483759993987824,1782920759.112053
0.30904700034651283,-1.2733320001070643,-0.8509329956494032,1782920760.6129923
0.3370730006897482,-1.3048400000551037,-0.8492609919180436,1782920762.1218858
0.3432350009564462,-1.3123170000754498,-0.6946699881909091,1782920763.65246
0.34707700120853413,-1.3161840001004663,-0.19529398446560134,1782920764.1187422
0.34989300146687685,-1.319514000127405,0.28609401925806993,1782920764.4031174
0.35458200173728754,-1.3228150001081347,0.7671140229806573,1782920764.662928
0.3568127163304831,-1.3228580776806937,0.8859917632410466,1782920766.1631558
0.35665843120523605,-1.3227791631041366,0.8857225221020552,1782920767.6728168
0.356577145512016,-1.3226972356276758,0.8860022747378996,1782920769.2030756
0.3564698601041374,-1.3226163166572034,0.8860860299648643,1782920770.7080095
0.35637057469592426,-1.3225353942849767,0.8862267851920481,1782920772.21316
0.35625429000116765,-1.3224554839622902,0.8862385463238979,1782920773.722749
0.35616500373960086,-1.3223735530858418,0.8864623038189698,1782920775.2533126
0.3560907183203005,-1.3222926059073175,0.8867860532125228,1782920776.762595
0.35599743290986,-1.322211676732452,0.886975800662112,1782920778.263234
0.35587914751914496,-1.3221307786024576,0.8869705542726942,1782920779.8130753
0.3557668635439769,-1.3220508746597532,0.8870163124969801,1782920781.3193097
0.3556495781604587,-1.3219699803577167,0.8870250765610711,1782920782.8526857
0.3556010804908455,-1.321901826209744,0.8871156877583521,1782920784.3641183
0.35557258099777955,-1.3218326362297979,0.8873602933060989,1782920785.90915
0.35552408332881424,-1.321764482082077,0.8874508988574251,1782920787.4141765
0.3554725856659743,-1.321696333853079,0.8875175052315079,1782920788.923759
0.3554791019004057,-1.3216378359578826,0.8875871375501028,1782920790.4540749
0.3554736202664385,-1.3215803631554972,0.8875677717330444,1782920791.9632146
0.355459138695744,-1.3215229100068895,0.8874834098852735,1782920793.464547
0.35545265496081807,-1.3214644400609725,0.8874590501451636,1782920795.0132248
0.35549676724963764,-1.3214067556315097,0.8874308190011057,1782920796.520185
0.35552788180483835,-1.32135010025397,0.8873135915800554,1782920798.0535371
0.3556029917786905,-1.3212913464912932,0.8875153581317711,1782920799.5592484
0.3544828473468649,-1.3206742702150835,0.7326665019367501,1782920801.0593066
0.3543889224902372,-1.3212973492856046,0.8064715646120632,1782920802.5646942
0.3585074690091065,-1.3207909377431144,1.2651714953567428,1782920803.6043415
0.36309968725794145,-1.3188114285917665,1.717394512071573,1782920804.50482
0.3669997338105862,-1.3158774609817618,2.1737750607449633,1782920805.414332
0.36713319826274615,-1.3118150158088622,2.627511568140223,1782920806.3143106
0.3652590616420983,-1.3075001339508827,3.0995217088549256,1782920807.2558532
0.3628430773890585,-1.302827500713551,-2.7264592637809955,1782920808.1655629
0.35907356888554687,-1.300565995277589,-2.2734405300159546,1782920809.064644
0.3541205001529339,-1.2985072541874194,-1.8022827786447326,1782920810.0051627
0.350345514097981,-1.300816863505012,-1.3411294437879606,1782920810.921968
0.3486749065439359,-1.3040127907116315,-0.8692807870214002,1782920811.8644128
0.3485915313215237,-1.304302016666735,-0.8037899592866016,1782920813.3644748
0.3810149523400732,-1.3366706248563844,-0.7974607705746029,1782920814.904285
0.43133406334317775,-1.3877718156343002,-0.7969632604991442,1782920816.406407
0.4818048039605893,-1.439206836577284,-0.7965831162138093,1782920817.9144683
0.5306313077839475,-1.4892121866427268,-0.7989602105927954,1782920819.415486
0.5815249191470547,-1.5410159570695041,-0.7976800283250552,1782920820.925784
0.642802078455866,-1.602998674778012,-0.7985801405364383,1782920822.4565806
0.7032396381412599,-1.6650564040584286,-0.799385307519494,1782920823.9635108
0.716665165258409,-1.6792490951479044,-0.7697807403570708,1782920825.46549
0.7188458360719217,-1.6814141104037872,-0.5779547273100738,1782920827.0157752
0.7170089623259539,-1.676977641867473,-1.0381352939334332,1782920828.4056575
0.7197514932121024,-1.6723125148168991,-1.5073238453272866,1782920829.566688
0.723219359944536,-1.668953898055558,-1.965272372239548,1782920830.711622
0.7251859707284579,-1.672332397453391,-2.26245745298472,1782920832.2158284
0.6713080858271817,-1.7368663815379846,-2.260551505104389,1782920833.7560213
0.5881374444338539,-1.8383384491022625,-2.261314999521907,1782920835.257719
0.517880547059042,-1.923394100226001,-2.2629105145556716,1782920836.7656858
0.5176235409073164,-1.9227325012400698,-2.208579518012479,1782920838.268704
0.5135294333658457,-1.9230863727418623,-1.7730171740869018,1782920839.8167138
0.5107640787213974,-1.9263415941840103,-1.3256627081798271,1782920841.3240244
0.5113245214026152,-1.9250753821000837,-1.4639141689315274,1782920842.8569903
0.5145218160119995,-1.9228972363691375,-1.8524835833114788,1782920844.3677545
0.5189707308056002,-1.9236582318030073,-2.2465114053851685,1782920845.9128032
0.5028388878536735,-1.9430671875119174,-2.2841504710095806,1782920847.4168322
0.47293925284799637,-1.9778030040562184,-2.283022296624792,1782920848.9564629
0.454360488251666,-1.999986862889621,-2.2837661256976856,1782920850.4579296
0.4456483702364829,-2.003781704696146,-1.9874875177760716,1782920851.966864
0.4417135416067634,-2.005443947363411,-1.5862301539536958,1782920853.469977
0.43948717649596797,-2.009021206786233,-1.1722398800993952,1782920855.0178392
0.43988341087508853,-2.0133536334556377,-0.7627270715267132,1782920856.5589828
0.4434257949019933,-2.0178544973098593,-0.3508655825669922,1782920858.1079144
0.44733648010460586,-2.0216270972379773,0.030519208231193966,1782920859.608024
0.44982126611068624,-2.0248002395198497,0.3650236575479719,1782920861.1140034
0.45396172497846493,-2.0279598769492124,0.7645619245791742,1782920862.617652
0.45910379078933955,-2.030164719880837,1.1774998705409159,1782920864.1579587
0.4636106249506614,-2.028439789323188,1.5777926139530758,1782920865.6590374
0.46580745887378466,-2.02403559060612,1.9772221128834393,1782920867.168069
0.46609150339420974,-2.0209745815728324,2.310650110669153,1782920868.6700785
0.46513163645952577,-2.0174020972783673,2.6435639091954584,1782920870.21865
0.450145699627098,-2.0094990062493827,2.647866751572682,1782920871.767981
0.41307294200820993,-1.990471485685878,2.6516056486587156,1782920873.307183
0.37805623396932564,-1.972228234165116,2.653545150874436,1782920874.8087902
0.36508371614695717,-1.9652321524517866,2.6551331443635036,1782920876.3187006
0.36533561221032507,-1.9653299549220347,2.6542105685536526,1782920877.8691704
0.36561051629338537,-1.965380382339655,2.6537403295902933,1782920879.4188073
0.3658825390182624,-1.9654207749324974,2.6533500906227547,1782920880.958696
0.36614508043537003,-1.9654200444840202,2.653267894865115,1782920882.5083065
0.3664092177976847,-1.9654522849397116,2.6529491878266054,1782920884.0092995
0.366676197428449,-1.9654965638301385,2.6525344777377247,1782920885.5162835
0.36693936948702116,-1.9655267892247126,2.652237778924813,1782920887.0184925
0.36720256001487267,-1.9655560136199237,2.6519430924569027,1782920888.5688057
0.3673976982071304,-1.965585405626922,2.651570232500936,1782920890.1083002
0.367586346747755,-1.9655806963175921,2.6514573999390096,1782920891.613599
0.3677833788033753,-1.9656171174562438,2.6510315635608066,1782920893.1195652
0.36799928106072893,-1.9656507553771747,2.650641660470518,1782920894.6697874
0.36821886020500233,-1.9657044552174554,2.650100740551685,1782920896.2098386
0.3684453397289226,-1.9656980796305212,2.650029418237381,1782920897.7593963
0.3555663316447125,-1.9585150366894561,2.646584027078481,1782920899.261423
0.32091923439668474,-1.9399175894750949,2.6497362166391527,1782920900.767482
