tag_id,x,y
0,3.8673826925883814,-5.523199697776411
1,2.2209054513379347,-7.613150316181485
3,0.0015432981995853845,-1.4069845713037883
4,1.9208172703158752,-3.433789431352499
5,0.146164771012087,-5.038004374632235
6,0.29944349983596996,-3.9018190916858497
7,3.354114398425755,-6.308347357946744
8,-0.6628216377942387,-3.308666013067081
9,4.0519372686746635,-6.680596440190171
10,4.018536216449806,-6.961717917945962
11,-0.5838885414159446,-4.2025789596038825
12,1.2267976292208256,-6.780662989447376
13,0.4789314612865696,-3.8617092370766937
14,1.4112978447556084,-3.2010596185915534
15,0.7270679518955067,-5.71840259612649
16,2.721953905050389,-6.476944091314774
17,1.3939930106052387,-3.617012248433039
18,2.473370786904304,-6.835316081211755
19,1.2520467247956761,-3.8024818901225257
20,2.1179403349061228,-4.1750203691410475
21,0.9459516086385189,-5.837230567540788
22,1.1507059800340322,-4.889920019996633
23,-0.22540711366756358,-2.9299666975791516
24,3.4763057160060136,-8.019331306868578
25,4.2608156631884295,-6.383602435525256
26,3.385664632961693,-4.98107726906017
27,-0.03730169602997264,-1.255108240211236
28,-0.16354798776984955,-2.8553730436096525
29,3.1205909226201958,-5.897919079877766
30,2.4696718367523514,-8.530385098679012
31,-0.9267339093752816,-2.4583168485117186
32,1.03241531074824,-1.9291664580463517
33,0.7342255541259344,-2.431836686134409
34,2.6295248700813523,-4.995656682392659
35,0.6132214897736208,-2.20844843743033
36,4.0880100004920035,-7.961838975761743
38,4.931889926066788,-6.6840430308414716
39,1.3291346334454963,-2.2109762260330976
40,0.542209776211039,-1.1170746851528173
41,-0.5779349317006567,-1.8328911385062028
42,0.8473639896552042,-4.654267347646055
43,-1.4578198900707182,-2.483542331832618
44,4.334573562111058,-6.048390134552668
45,-0.5697896856160173,-3.2584828369284873
46,1.54660099578734,-3.799953158306244
47,3.8135380576562063,-6.50084634871505
48,0.2926596473412139,-3.73440906229
49,3.99689023747172,-5.954076702793415
50,2.500133943937454,-6.5527771774970125
51,2.931009600953307,-4.384514208617373
52,1.9967349337215639,-3.3873411294574876
53,1.8090970025501878,-2.739330032212131
54,3.4189074236594275,-5.721357203504352
55,0.7153201987403838,-4.999758584826884
56,2.3997958953307306,-3.8396840137806634
57,-1.4297923443115474,-3.2636001934776875
58,2.166829030542336,-7.574610426329316
59,2.1681347029114733,-7.9428697172856415
86,3.0008167214275203,-5.340880569319123
