tag_id,x,y,robot_x,robot_y
48,-0.6247194886537207,1.1139548170352693,-0.335160349375286,1.186151691180429
48,-0.6268395978654031,1.1191332950299444,-0.3350578328548889,1.186113868693874
48,-0.6344918715248449,1.117611268893762,-0.33495577482538896,1.1860762153631357
48,-0.6305332095007598,1.1301774333847383,-0.33485371679588916,1.1860385620323979
48,-0.7001866899554681,1.3487662759895893,-0.3310775580230981,1.1846453844853926
48,-0.7041315223217514,1.3563242880157536,-0.33097549999359827,1.1846077311546548
48,-0.7067524469856623,1.3635318720782934,-0.33087344123401735,1.1845700775545602
48,-0.6808399552548114,1.3564575076843026,-0.33077138247443644,1.1845324239544661
48,-0.6834129276686283,1.3634932485663263,-0.3306693244449366,1.184494770623728
48,-0.686394263752703,1.3707044667269823,-0.3306060516219164,1.1844043060244793
48,-0.6891256718176635,1.3771466939098562,-0.33055530598942495,1.1842967869075371
48,-0.6914889380287625,1.384170726172931,-0.3305045592678858,1.1841892654831363
48,-0.6934720508079313,1.3911543504422341,-0.3304538125463467,1.1840817440587352
20,-0.7675222754110507,1.2543197375354933,-0.32847471327632244,1.1798884569637342
20,-0.7622811623287382,1.2582544842576733,-0.32842396619176734,1.1797809347701804
20,-0.5454238792705263,1.2180257602829436,-0.3283732209222919,1.1796734164223914
20,-0.567835131090409,1.2489851184948302,-0.3282799269387838,1.179249509478538
20,-0.7026549887216602,1.2785992299302664,-0.3282780088331145,1.1791447379576487
20,-0.694861140705886,1.2820833952994652,-0.32827609071372377,1.1790399656872674
20,-0.5233698865869709,1.442580870251602,-0.32820512057069506,1.1751634066730012
20,-0.519491685745414,1.4459886849440993,-0.3282032024650257,1.1750586351521122
20,-0.5149760858152603,1.4505783878486949,-0.32820128435935636,1.1749538636312231
20,-0.5100806236325388,1.4531430545962962,-0.32819936623996565,1.1748490913608416
20,-0.5051125918426007,1.4568949230601442,-0.32820325667366795,1.174744718815869
20,-0.5015682393194216,1.4616889898231602,-0.32828380671670915,1.174645611103922
20,-0.49757753413903705,1.4668152556769332,-0.3283643567597503,1.1745465033919753
20,-0.4930644101280894,1.4712928397806992,-0.32844490565035617,1.1744473970979699
20,-0.48988476046190743,1.476033653054543,-0.328525456269615,1.1743482886770524
20,-0.2859788705928867,1.6553224155345316,-0.33158634580460833,1.1705822105114574
20,-0.27961280443015746,1.6625997265468502,-0.33166689527143184,1.170483103508481
20,-0.2733567314066091,1.6680039255202315,-0.3317474447382554,1.170383996505505
20,-0.26688900796361104,1.6730251518443686,-0.33182799535751417,1.1702848880845875
20,-0.259053904526791,1.6851687277000118,-0.3319089012039502,1.1701866294100118
20,-0.25303442764596995,1.6866788632641043,-0.3319995563932967,1.1701115171552758
20,-0.246464596825581,1.6909651191497561,-0.33209021093413793,1.1700364054378583
20,-0.23793046709720048,1.7060745783275832,-0.3321808661234844,1.1699612931831223
21,0.11134446718817909,1.3910919601167773,-0.35104883350603605,1.1603415853454475
21,0.10555734330180089,1.376606233628315,-0.35116296766157584,1.1603190944394197
21,0.09884065241937634,1.3621329578451795,-0.351277098551311,1.160296604176941
21,0.09368980117369569,1.3410372386957081,-0.35150536196368365,1.160251623330209
21,0.095357924781029,1.3306205350383264,-0.3516137271113163,1.1602827099799204
21,0.10779784982489321,1.3232080020904855,-0.3517214020679201,1.1603202083032615
21,0.1316945079447111,1.3220891644868658,-0.3518290762542672,1.1603577063583572
21,0.1644451266973137,1.3193013194123,-0.3519367519811276,1.1603952049499437
21,0.09363413536790871,0.9630095197508101,-0.35613605757277145,1.1618576333906012
21,0.10231265636324732,0.9485048799195748,-0.35624373329963194,1.161895131982188
21,0.09386219433350218,0.9411118387771349,-0.3563514067157223,1.161932629769038
21,0.09357139295891898,0.9302683729290653,-0.3564590809020694,1.1619701278241337
21,0.08586768341375983,0.9201312742910233,-0.35654646362098213,1.1620270815707727
21,0.08503147791580251,0.9085521841685303,-0.35660333918570913,1.1621132859264978
21,0.08467223281131658,0.8958284192218495,-0.3566602155641648,1.1621994915155636
21,0.08387386171106054,0.8861677253503848,-0.3567170911288918,1.1622856958712888
21,0.08245133936512461,0.8770587873627349,-0.35677396710048304,1.1623719008436841
48,-0.5561643593368738,0.9607579137102148,-0.3429188654403654,1.1815912841546161
48,-0.5579671117089121,0.96514669208822,-0.34281731126955267,1.1816185031558595
48,-0.5611556706195685,0.9704923771080574,-0.3427157563722634,1.1816457223518162
48,-0.5638912141661564,0.9801881580234318,-0.3425198204300436,1.181665588360755
48,-0.5665104916590146,0.9839336805609021,-0.342435419273317,1.181610146495379
48,-0.5671025779373682,0.9902566495427747,-0.3423510163052643,1.1815547034401697
48,-0.5690806234418015,0.9934194167821019,-0.3422666145447624,1.1814992611781825
48,-0.5699386122143569,0.9989866894237075,-0.34218221278426053,1.181443818916195
48,-0.670865942455911,1.1712863775360909,-0.3390558874089817,1.1793901822446053
48,-0.659040701062718,1.1804035641562118,-0.3389714856484798,1.179334739982618
48,-0.660850792140869,1.1858621506743634,-0.33888708147287633,1.1792792961341865
48,-0.6591580239508259,1.1917719935454618,-0.3388026815237006,1.1792238550620324
48,-0.6568217385595552,1.1972640418018619,-0.3387191714266672,1.1791657139104093
48,-0.6577793437182635,1.2026352133736982,-0.3386405017822505,1.1790929194383029
48,-0.6484124345942124,1.207316847636034,-0.3385618332633662,1.1790201260076723
48,-0.6498667080162237,1.2126579579143157,-0.33848316193065103,1.1789473299733524
48,-0.6449753473553979,1.2168992378863581,-0.3384044934117667,1.1788745365427218
20,-0.6325063212971473,1.3082496475053973,-0.33478434624826936,1.1708640979123075
20,-0.6299436182891796,1.3132225399928061,-0.33477470604503123,1.1707445968099883
20,-0.6283273243418372,1.31886820828688,-0.3347650660486762,1.1706250982722173
20,-0.6333741177901171,1.3282320151476725,-0.33475542591439905,1.1705055980247472
20,-0.6460346106136947,1.3441903480211066,-0.33474578584908293,1.1703860986321266
20,-0.6409128491686505,1.3467447332518523,-0.33477570495524417,1.1702759870618824
20,-0.6385594348944196,1.3526479325631189,-0.33482506774692894,1.1701704880130777
20,-0.6331547096562112,1.355173005526909,-0.33487442947926566,1.17006499122833
20,-0.6298521096901845,1.360139540509492,-0.3349237915647184,1.1699594936888966
20,-0.4371677888826155,1.480221422307463,-0.33679955716801085,1.1659505736060864
20,-0.4331385116596047,1.4840243011808318,-0.3368489192534636,1.1658450760666532
20,-0.42922170630879,1.4860788918615695,-0.33689828169203234,1.165739577772534
20,-0.4250986966787086,1.492450441341913,-0.3369476437774851,1.1656340802331007
20,-0.4202678727110971,1.4969104072742814,-0.33700930286213304,1.1655265165437494
20,-0.41564461124192054,1.4972814000807908,-0.3370917521378828,1.1654154608484235
20,-0.4101255490853761,1.5004219643398469,-0.3371742008238286,1.1653044059475381
20,-0.40403451563564513,1.5033855654450266,-0.3372566495097744,1.1651933510466532
20,-0.39912322522828714,1.5060711315332536,-0.3373390987855241,1.1650822953513271
19,-0.16766517297818034,2.2756675904037196,-0.05635945885862651,1.698114193075528
19,-0.1710323747601778,2.275090197027656,-0.05627128915551276,1.6986263912194868
19,-0.1767949457554588,2.2664848645708835,-0.056183118190930595,1.6991385966916066
