time,tag_id,distance,bearing
1778592179.0141778,10,0.245790,-0.046499
1778592179.0475063,10,0.245790,-0.046499
1778592179.080835,10,0.245790,-0.046499
1778592179.1141636,10,0.245790,-0.046499
1778592179.1474922,10,0.245790,-0.046499
1778592179.180821,10,0.245790,-0.046499
1778592179.2141495,10,0.245790,-0.046499
1778592179.2474785,10,0.245790,-0.046499
1778592179.2808068,10,0.245790,-0.046499
1778592179.3141356,10,0.245790,-0.046499
1778592179.3474643,10,0.245790,-0.046499
1778592179.3807926,10,0.245790,-0.046499
1778592179.4141214,10,0.245790,-0.046499
1778592179.44745,10,0.245790,-0.046499
1778592179.4807787,10,0.245790,-0.046499
1778592179.5141075,10,0.245790,-0.046499
1778592179.547436,10,0.245790,-0.046499
1778592179.580765,10,0.245790,-0.046499
1778592179.6140933,10,0.245790,-0.046499
1778592179.6474218,10,0.245790,-0.046499
1778592179.6807506,10,0.245790,-0.046499
1778592179.7140791,10,0.245790,-0.046499
1778592179.747408,10,0.245790,-0.046499
1778592179.7807364,10,0.245790,-0.046499
1778592179.814065,10,0.245790,-0.046499
1778592179.8473938,10,0.245790,-0.046499
1778592179.8807223,10,0.245790,-0.046499
1778592179.9140513,10,0.245790,-0.046499
1778592179.9473805,10,0.245790,-0.046499
1778592179.9807084,10,0.245790,-0.046499
1778592180.014037,10,0.245790,-0.046499
1778592180.0473654,10,0.245790,-0.046499
1778592180.0806944,10,0.245790,-0.046499
1778592180.1140227,10,0.245790,-0.046499
1778592180.1473515,10,0.245790,-0.046499
1778592180.18068,10,0.245790,-0.046499
1778592180.2140088,10,0.245790,-0.046499
1778592180.2473378,10,0.245790,-0.046499
1778592180.280666,10,0.245790,-0.046499
1778592180.3139946,10,0.245790,-0.046499
1778592180.3473234,10,0.245790,-0.046499
1778592180.380652,10,0.245790,-0.046499
1778592180.4139807,10,0.245790,-0.046499
1778592180.4473093,10,0.245790,-0.046499
1778592180.4806378,10,0.245790,-0.046499
1778592180.5139668,10,0.245790,-0.046499
1778592180.547295,10,0.245790,-0.046499
1778592180.5806243,10,0.245790,-0.046499
1778592180.6155963,10,0.245790,-0.046499
1778592180.6489248,10,0.245790,-0.046499
1778592180.6822534,10,0.245790,-0.046499
1778592180.715582,10,0.245790,-0.046499
