time,x,y,theta
1782920762.7609184,0.342911,-1.311549,-0.845810
1782920762.8030226,0.342911,-1.311550,-0.845806
1782920762.8516285,0.342910,-1.311556,-0.845760
1782920762.921075,0.342911,-1.311548,-0.845821
1782920762.9629126,0.342911,-1.311549,-0.845812
1782920763.0130575,0.342911,-1.311554,-0.845775
1782920763.0629122,0.342912,-1.311545,-0.845845
1782920763.111103,0.342911,-1.311550,-0.845800
1782920763.1611798,0.342912,-1.311542,-0.845865
1782920763.2029216,0.342908,-1.311577,-0.845597
1782920763.2513607,0.342668,-1.311453,-0.834433
1782920763.3031619,0.342908,-1.311575,-0.817654
1782920763.3629239,0.342925,-1.311911,-0.801273
1782920763.4130495,0.343121,-1.311895,-0.788389
1782920763.4629574,0.343037,-1.311960,-0.775086
1782920763.5111392,0.342904,-1.312095,-0.762510
1782920763.5712538,0.342860,-1.312270,-0.747024
1782920763.60305,0.342842,-1.312395,-0.734417
1782920763.65246,0.343235,-1.312317,-0.694670
1782920763.7193322,0.343833,-1.312849,-0.636938
1782920763.7622507,0.344159,-1.312977,-0.604009
1782920763.811926,0.344558,-1.312894,-0.566853
1782920763.8629482,0.344701,-1.313637,-0.529048
1782920763.9099846,0.344916,-1.313476,-0.488425
1782920763.9598973,0.345474,-1.314133,-0.422885
1782920764.0029182,0.345960,-1.314471,-0.362572
1782920764.053144,0.346201,-1.315411,-0.289351
1782920764.1187422,0.347077,-1.316184,-0.195294
1782920764.162932,0.347156,-1.316532,-0.134575
1782920764.2129462,0.347498,-1.316617,-0.060518
1782920764.2619479,0.347645,-1.317269,0.027378
1782920764.3099213,0.348509,-1.318021,0.116370
1782920764.3599002,0.349360,-1.318711,0.208042
1782920764.4031174,0.349893,-1.319514,0.286094
1782920764.4521978,0.350595,-1.319784,0.377541
1782920764.5199356,0.351805,-1.321271,0.503073
1782920764.5631669,0.352496,-1.321835,0.583591
1782920764.613086,0.353505,-1.321931,0.676851
1782920764.662928,0.354582,-1.322815,0.767114
1782920764.7140064,0.355790,-1.322808,0.836695
1782920764.7599058,0.356450,-1.322739,0.874723
1782920764.8029516,0.356692,-1.322821,0.892110
1782920764.8524349,0.357177,-1.322922,0.893369
1782920764.9023411,0.357047,-1.322839,0.887041
1782920764.9630182,0.356901,-1.322925,0.885777
1782920765.0131536,0.356908,-1.322926,0.885934
1782920765.0629482,0.356921,-1.322925,0.885934
1782920765.1132634,0.356910,-1.322939,0.885836
1782920765.1599572,0.356904,-1.322939,0.885795
1782920765.2023442,0.356904,-1.322939,0.885795
1782920765.2529318,0.356910,-1.322939,0.885841
1782920765.3187735,0.356903,-1.322939,0.885785
1782920765.3629944,0.356903,-1.322939,0.885785
1782920765.4130135,0.356903,-1.322939,0.885787
1782920765.4629614,0.356903,-1.322939,0.885787
1782920765.5132735,0.356904,-1.322939,0.885796
1782920765.5589128,0.356900,-1.322939,0.885766
1782920765.6224473,0.356900,-1.322939,0.885767
1782920765.6526573,0.356910,-1.322939,0.885839
1782920765.7190502,0.356910,-1.322939,0.885836
1782920765.7629926,0.356910,-1.322939,0.885836
1782920765.8129656,0.356902,-1.322939,0.885781
1782920765.8629413,0.356902,-1.322939,0.885781
1782920765.913026,0.356913,-1.322939,0.885858
1782920765.9589148,0.356907,-1.322939,0.885818
1782920766.0029912,0.356907,-1.322939,0.885818
1782920766.0524166,0.356904,-1.322939,0.885795
1782920766.103974,0.356904,-1.322939,0.885795
1782920766.1631558,0.356912,-1.322939,0.885850
1782920766.212965,0.356902,-1.322939,0.885780
1782920766.262963,0.356902,-1.322939,0.885780
1782920766.3129377,0.356903,-1.322939,0.885785
1782920766.3589735,0.356898,-1.322939,0.885752
1782920766.40305,0.356898,-1.322939,0.885752
1782920766.4531417,0.356893,-1.322940,0.885713
1782920766.5187428,0.356901,-1.322939,0.885775
1782920766.562942,0.356901,-1.322939,0.885775
1782920766.6122296,0.356898,-1.322939,0.885752
1782920766.6630082,0.356898,-1.322939,0.885752
1782920766.7129812,0.356885,-1.322940,0.885650
1782920766.7589302,0.356890,-1.322940,0.885690
1782920766.8030343,0.356890,-1.322940,0.885690
1782920766.8528,0.356881,-1.322940,0.885620
1782920766.9187787,0.356881,-1.322940,0.885623
1782920766.962398,0.356881,-1.322940,0.885623
1782920767.0129545,0.356887,-1.322940,0.885669
1782920767.0629914,0.356887,-1.322940,0.885669
1782920767.1129646,0.356877,-1.322940,0.885593
1782920767.1589768,0.356878,-1.322940,0.885597
1782920767.2025173,0.356878,-1.322940,0.885597
1782920767.252484,0.356872,-1.322940,0.885558
1782920767.3175678,0.356857,-1.322941,0.885439
1782920767.362949,0.356857,-1.322941,0.885439
1782920767.4130244,0.356857,-1.322941,0.885439
1782920767.4629526,0.356857,-1.322941,0.885439
1782920767.5122201,0.356857,-1.322941,0.885439
1782920767.5649676,0.356857,-1.322941,0.885439
1782920767.6030679,0.356857,-1.322941,0.885439
1782920767.6728168,0.356857,-1.322941,0.885439
1782920767.723327,0.356857,-1.322941,0.885439
1782920767.763084,0.356857,-1.322941,0.885439
1782920767.8129466,0.356857,-1.322941,0.885439
1782920767.8629866,0.356857,-1.322941,0.885439
1782920767.912974,0.356857,-1.322941,0.885439
1782920767.9640186,0.356857,-1.322941,0.885439
1782920768.0030925,0.356857,-1.322941,0.885439
1782920768.0525765,0.356857,-1.322941,0.885439
1782920768.102445,0.356857,-1.322941,0.885439
1782920768.1621823,0.356857,-1.322941,0.885439
1782920768.2129872,0.356857,-1.322941,0.885439
1782920768.2625148,0.356868,-1.322940,0.885527
1782920768.3130002,0.356869,-1.322940,0.885530
1782920768.3641093,0.356869,-1.322940,0.885530
