tag_id,x,y
0,-1.5247874527070024,2.231278899680294
1,-4.472137528600898,-0.9782839649415549
2,-5.141602935655522,-1.973917642709168
3,-4.735896285072307,-1.521785839453584
4,-5.386162812628435,-2.440972300094031
5,-1.1228982899069677,3.724606012794098
6,-6.41025681232743,-1.1711064564677363
7,-5.747457470303958,-1.6005769063488893
8,-5.011060499298967,-1.321404702923897
9,-1.6413019299063862,3.2967676915924806
10,-2.3797037718094565,0.4860834624595071
11,-2.165307583055083,0.9078555536381829
12,-0.643971554506474,0.8834183004751923
13,-3.294150391430164,1.7901435579300005
14,-1.5490325493738395,2.089911704114415
15,-2.5715646364204092,2.2105172018561543
16,-2.538841145974468,2.792411170934826
17,-2.869776842115354,0.7589407044683701
18,-0.8321132268784296,1.7315417297042661
19,-0.14931823729981167,2.2834318181971485
20,-0.546124936347385,1.4304268878307922
21,-0.04714650796287406,1.3207600084653646
22,-4.145531244078188,-0.5351155546455231
23,-5.160798583679596,-1.140727326435674
24,-2.112594948617845,1.294890396592269
25,-1.8363232974208161,2.654602093971889
26,-3.635272603120622,-0.3673529575862819
27,-6.261382879360253,-0.9582638542195905
28,-6.171666563460134,0.2812794071537468
29,-6.854314319850741,-0.17145251082084775
30,-2.795275219547397,2.35095682787259
31,-4.801287281323284,-0.982240433930627
32,-4.015491906303033,0.2848459296396895
33,-3.7028581770274602,-0.060570714474003105
34,-4.980856024541941,1.0402106335989814
35,-2.8331621998926226,0.5913655500003483
36,-1.6911759660757857,1.0287358331040168
37,-5.2229240264085215,-2.018063761147182
38,-2.3194970329927056,1.669242859492319
39,-2.5308062612369264,-0.233546231581353
40,-3.2406939098775704,-0.5713296433116408
41,-5.188070580739896,-0.8410863431203254
42,-3.626340898795683,-0.439291362191374
43,-3.3242894621081143,1.1488138038008564
44,-1.586264857784228,2.279450770524705
45,-2.6728842147993754,1.2050761793578344
46,-0.21188591645046426,3.1295068958581678
47,-2.5980238849067514,2.5025709017368496
48,-0.6318900433372263,1.1027333880951093
49,-1.3206013360873885,3.320837358904336
